Data:
load('F:\oytun_Calisma\data\Traindatatwoclass_features_02_12_2021_newspectrogramsparfor');

13 x 4225 lik bir data var.

170 data 

56 fast - 114 slow

trainRatio=0.8;
valRatio=0.1;
testRatio=0.1;

|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      34 |         136 |       00:00:44 |       96.88% |       70.59% |       0.0901 |       0.5975 |          0.0100 |
|      35 |         137 |       00:00:45 |      100.00% |       70.59% |       0.0269 |       0.5662 |          0.0100 |
|      35 |         138 |       00:00:45 |      100.00% |       70.59% |       0.0526 |       0.5477 |          0.0100 |
|      35 |         139 |       00:00:45 |      100.00% |       64.71% |       0.0566 |       0.5438 |          0.0100 |
|      35 |         140 |       00:00:46 |       96.88% |       70.59% |       0.0687 |       0.5116 |          0.0100 |
|      36 |         141 |       00:00:46 |      100.00% |       76.47% |       0.0231 |       0.4862 |          0.0100 |
|      36 |         142 |       00:00:46 |      100.00% |       82.35% |       0.0393 |       0.4681 |          0.0100 |
|      36 |         143 |       00:00:46 |      100.00% |       76.47% |       0.0563 |       0.4556 |          0.0100 |
|      36 |         144 |       00:00:47 |       96.88% |       76.47% |       0.0549 |       0.4366 |          0.0100 |
|      37 |         145 |       00:00:47 |      100.00% |       76.47% |       0.0146 |       0.4324 |          0.0100 |
|      37 |         146 |       00:00:47 |      100.00% |       76.47% |       0.0296 |       0.4255 |          0.0100 |
|      37 |         147 |       00:00:48 |      100.00% |       76.47% |       0.0406 |       0.4252 |          0.0100 |
|      37 |         148 |       00:00:48 |       96.88% |       76.47% |       0.0590 |       0.4283 |          0.0100 |
|      38 |         149 |       00:00:48 |      100.00% |       82.35% |       0.0112 |       0.4376 |          0.0100 |
